Project ID,Project Name,Project State,Project Link,Project Category,Project Image,Project Overview,Project Goal Amount,Project Pledged Amount,Project Funded Ratio,Project Country,Project Locality,Project Currency,Project Backers Count,Creator ID,Creator Name,Creator Profile Link,Creator Biography,Creator Joined Date,Creator WebSite 1,Creator WebSite 2,Creator WebSite 3
532724899,NeuTuch-authentic biodegradable Wipes,live,https://www.kickstarter.com/projects/neutoi/neutuch-and-neutoi-born-for-the-toilet,Technology,https://ksr-ugc.imgix.net/assets/029/346/465/7a23995b1c9fcac8f406e24afd6cced8_original.png?ixlib=rb-2.1.0&crop=faces&w=560&h=315&fit=crop&v=1591302224&auto=format&frame=1&q=92&s=28ed67a12418ae06171aa5827a78753d,"Flushable Wipes, toilet tissues, cosmetic tissues, towels for outside
Biodegradation of plastics.
Stop Marine Litter, microplastic.",50000.0,12.0,0.024,Germany,"München, Germany",EUR (€),3,2049669882,New era of science,https://www.kickstarter.com/profile/neutoi,"I am a nearly finished student, trained as a biologist and I am currently writing my master thesis in bioprocess engineering. 
",May 2020,,,
1177852239,Top German online magazine needs financing,live,https://www.kickstarter.com/projects/weltaktuell/top-german-online-magazines-need-financing,Technology,https://ksr-ugc.imgix.net/assets/028/626/507/0f8ea72e9fd6e50ad0a6bf071d9fee4f_original.jpg?ixlib=rb-2.1.0&crop=faces&w=560&h=315&fit=crop&v=1585997034&auto=format&frame=1&q=92&s=b7ff4ab99ee964200460e016c630bcf0,We need your support to be successful!,137200.0,856.0,0.6239067055393586,Germany,"Essen, Germany",EUR (€),7,2093166518,Aleesa,https://www.kickstarter.com/profile/weltaktuell,Thanks for your visit,Nov 2019,https://www.weltaktuell.de,,
320747833,"Feelbelt: Haptic Feedback for VR, Gaming and Music",successful,https://www.kickstarter.com/projects/1267629547/feelbelt-strap-it-feel-it-love-it,Hardware,https://ksr-ugc.imgix.net/assets/029/227/004/dc19e95ba4e84ba4055f95a346620673_original.jpg?ixlib=rb-2.1.0&crop=faces&w=560&h=315&fit=crop&v=1590506201&auto=format&frame=1&q=92&s=afd9db314dd8350608779427075e7771,Take your gaming and music experience to the next level by adding a new dimension. Strap it. Feel it. Love it.,20000.0,60007.0,300.035,Germany,"Potsdam, Germany",EUR (€),237,1267629547,Feelbelt,https://www.kickstarter.com/profile/1267629547,"We are a dynamic, music-loving team of unconventional thinkers who are constantly challenging the status quo. We’re working with two competent partners, who are experienced production experts and supporters of the feelbelt movement.",Aug 2019,https://www.feelbelt.de,https://www.feelbelt.com,https://www.youtube.com/channel/UCGePb92aDQO_5Qw7-I3eSOg?view_as=subscriber
1697006607,Guide Me Good - Social App,live,https://www.kickstarter.com/projects/guidemegood/gmg-guidemegood,Apps,https://ksr-ugc.imgix.net/assets/028/949/630/73c9cc68914939981c8f82cc63bb575c_original.png?ixlib=rb-2.1.0&crop=faces&w=560&h=315&fit=crop&v=1588550199&auto=format&frame=1&q=92&s=b407fb92252ea097ea05851bd0b6d609,"Think of us as your guide to be and do good. Introducing a community App providing a HELP platform, a MATCHING of interests, and more..",2000.0,1.0,0.05,Germany,"Berlin, Germany",EUR (€),1,149812932,Raphael,https://www.kickstarter.com/profile/guidemegood,"Just startet the GMG Project in April 2020, the Idea was around since 2018. I studied in Braunschweig and have been living and working in Berlin for more than a year now. My driving question is the universal good and how it is triggered in us humans. If i have to describe myself and break it down, i would call myself a philosopher and generalist.",May 2019,https://www.guidemegood.de,,
631950110,LocalStore-Platform,live,https://www.kickstarter.com/projects/psb/localstore-platform,Apps,https://ksr-ugc.imgix.net/assets/027/761/175/b0c3911e49c2333c08310a09888e232e_original.png?ixlib=rb-2.1.0&crop=faces&w=560&h=315&fit=crop&v=1579105182&auto=format&frame=1&q=92&s=022ba3d48bcb4c50b7bc35756f9d4805,The local app for local stores to reach local people.,175000.0,1.0,0.0005714285714285715,Germany,"Mainz, Germany",EUR (€),1,706775185,Singh Bains,https://www.kickstarter.com/profile/psb,"Founder of LocalStore 
",Jan 2020,https://localstore.app,,
449514652,polyflip: organisieren. planen. machen.,live,https://www.kickstarter.com/projects/janwegel/polyflip-organisieren-planen-machen,Apps,https://ksr-ugc.imgix.net/assets/028/988/584/2218edb43f47e73df23681e8609c4bb8_original.png?ixlib=rb-2.1.0&crop=faces&w=560&h=315&fit=crop&v=1588801500&auto=format&frame=1&q=92&s=36ae7547160d3013d332764fbca361cb,Eine App für die Organisation von politischer Arbeit und Öffentlichkeitsarbeit.,35000.0,3.0,0.008571428571428572,Germany,"Deutsch, Germany",EUR (€),2,1512015756,Jan Wegel,https://www.kickstarter.com/profile/janwegel,in der Politik unterwegs,May 2020,https://janwegel.de,,
364247289,The AlphaLink Compound Aircraft: Aviation outside the Box!,live,https://www.kickstarter.com/projects/alphalink-aero/take-off-1,Flight,https://ksr-ugc.imgix.net/assets/028/880/855/3a39d2d9a7599454caf649065f7d4f1c_original.png?ixlib=rb-2.1.0&crop=faces&w=560&h=315&fit=crop&v=1588081011&auto=format&frame=1&q=92&s=dd961df1fa5738fb015abe53d70e3edd,Building a Prototype to Revolutionize Unmanned Aviation: The World's First Platform for Earth Observation and Internet from the Sky!,10000.0,4247.0,42.47,Germany,"Berlin, Germany",EUR (€),27,66008075,Daniel Cracau (AlphaLink),https://www.kickstarter.com/profile/alphalink-aero,"I believe in a world where technology and creativity work together to find new ways to make life better for everyone. That's why I give my full support and work myself on solutions with which we can actively shape the future. Crowdfunding is for me a way to promote clever ideas and young ventures and to sponsor an often necessary amount of money in addition to tips and exchange of experiences.
",Jul 2015,https://alphalink.space,,
115169499,Sievimet,live,https://www.kickstarter.com/projects/no-meltdown/sievimet,Apps,https://ksr-ugc.imgix.net/assets/029/127/943/f4751e954323dd1372285ab8e177f082_original.jpg?ixlib=rb-2.1.0&crop=faces&w=560&h=315&fit=crop&v=1589806917&auto=format&frame=1&q=92&s=28efd040841948a0b945461bedd6c250,"Die App für Deine Strahlendosis - 

controls your radiation exposure",125000.0,8551.0,6.8408,Germany,"Neuss, Germany",EUR (€),3,1719265164,Jochen K. Michels,https://www.kickstarter.com/profile/no-meltdown,"From 2020:
",Aug 2014,https://www.gaufrei.de,https://www.biokernsprit.org,http://sievimet.jomi1.com
37453382,"Power Pi, a smart UPS for the Raspberry Pi",live,https://www.kickstarter.com/projects/tjohn327/power-pi-a-smart-ups-for-the-raspberry-pi,DIY Electronics,https://ksr-ugc.imgix.net/assets/026/990/575/d0f193b494145672015a11e662088673_original.png?ixlib=rb-2.1.0&crop=faces&w=560&h=315&fit=crop&v=1572170875&auto=format&frame=1&q=92&s=57e6b6fe4b292757e0a5a08630ab41cf,An uninterruptible power supply for Raspberry Pi that can provide more than an hour of backup power and shutdown the Pi safely.,10000.0,12715.0,127.15,Germany,"Magdeburg, Germany",EUR (€),409,859751557,Tony John,https://www.kickstarter.com/profile/tjohn327,IoT developer and passionate maker.,Sep 2015,,,
1524948400,SleepMe- sleep quality improver.,successful,https://www.kickstarter.com/projects/931291675/sleepme-sleep-quality-improver,Sound,https://ksr-ugc.imgix.net/assets/028/370/753/fd777b4c2186765afdece4c624cdd046_original.jpg?ixlib=rb-2.1.0&crop=faces&w=560&h=315&fit=crop&v=1583748263&auto=format&frame=1&q=92&s=a987120e7b843ccd18d85ce067abddd8,We introduce SleepMe. Bluetooth speaker with active sound and snoring cancellation.,4000.0,16291.0,407.27500000000003,Germany,"München, Germany",EUR (€),201,931291675,SleepMe,https://www.kickstarter.com/profile/931291675,"I love the sound and everything related to it. I've been playing musical instruments since I was little, I create music and constantly learn something new. SleepMe was created based on my passion and learning - we put a lot of work and effort to refine the device and we are constantly improving it.",Mar 2020,,,
